海南大宗商品交易																										
分类	标题	关键字	应答内容																							
交易细则	交易品种有哪些？	交易品种	目前有白银、铂金、钯金三个品种，未来会增加新品种。																							
	交易品种的品质如何？	品质 纯度	白银：AG9999；铂金：PT9995；钯金：Pd9995																							
	交易品种的交易单位是怎样的？	交易单位	白银：5千克、15千克、30千克、150千克；铂金：1000克；钯金：1000克																							
	1盎司等于多少克？	盎司 	1盎司等于31.1035克																							
	1克等于多少盎司？	盎司	1 克=0.0321507 盎司																							
	交易品种的报价单位是什么？	报价单位	白银：元（人民币）/千克；铂金、钯金：元（人民币）/克																							
	价差（点差）是多少？	价差 点差	白银：5元/千克；铂金：0.3元/克；钯金：0.2元/克																							
	什么是价差（点差）？	价差 点差	价差（点差）是买价与卖价之间的差额，这个是交易所的规定。																							
	你们的价差（点差）是不变的吗？	价差 点差	正常情况下是不变的，但在市场发生异常变化或极端情况下会进行相应调整。																							
	最小变动价位是多少？	最小变动价位	白银1元/千克，铂金、钯金：0.01元/克。																							
	交易保证金的比例是多少？	保证金比例	白银、铂金、钯金均是20%																							
	交易保证金的比例倍数是多少？	保证金比例 倍数	白银、铂金、钯金均是20%,也就是5倍																							
	什么是信用担保？	信用担保	"在固定20%保证金比例的基础上，投资者还可以选择申请无任何费用的信用借款，（以达到预付20%的要求），从而提高资金利用率。      
"																							
	信用担保的倍数是多少？	信用担保 倍数	A.不选择 （交易保证金20% 5倍），B.4倍（交易保证金4% 25倍）9倍（交易保证金2% 50倍）																							
	信用担保需要费用吗？	信用担保 费用	信用担保－－无任何费用																							
	信用担保的资金可以取出吗？	信用担保 取出	信用担保的资金无法取出，配合以达到预付20%保证金的需求，从而提高资金利用率。																							
	最小交割单位是多少？	交割	白银：30千克；铂金、钯金：5000克。																							
	申报交割时间？	交割	北京时间每周一至周五(上午10:00至下午15:00，节假日除外)。																							
	交割地点?	交割地点	交易中心指定仓库																							
	实物交割合作企业是哪一家？	实物 交割	交易所交割的合作企业为深圳金亚福集团（http://www.jinyafu.com 第5、6、7届亚洲品牌500强）																							
	实物交割费用如何计算？	实物交割 费用	"提货总价格 = 持仓价格 +  提货费。
提货费收取标准为：
白银不高于成交总金额的12%；
铂金、钯金不高于成交总金额的15%.
"																							
	手续费如何收取？	手续费	白银：根据不同规格手续费不同，5千克的手续费35元、15千克的手续费80元、30千克的手续费135元、150千克的手续费550元；铂金：0.35元/克；钯金：0.30元/克。																							
	手续费是否双边收取?	双边 手续费	白银：根据不同规格手续费不同，5千克的手续费35元(双边共70元)、15千克的手续费80元(双边共160元)、30千克的手续费135元(双边共270元)、150千克的手续费550元(双边共1100元)；铂金：0.35元/克；钯金：0.30元/克。																							
	什么是延期费？延期费如何收取？	延期费 持仓费	"客户因隔夜持仓所产生的费用。白银：0.8元/千克·天；铂金、钯金：0.01元/克·天(说明：周六凌晨收取周五、六、日三天的延期费)。(一般情况是做多才产生持仓费用)
5千克   5*0.8＝4
15千克  15*0.8＝12
30千克  30*0.8＝24
150千克 150*0.8＝120
铂金    0.01*1000＝10 
钯金    0.01*1000＝10 "																							
	做空是否收取延期费？	延期费 持仓费	做空不产生延期费 																							
	交易时间？	交易时间	交易时间：北京时间每周一早上08：00至周六凌晨04:00 (节假日除外)(如特殊情况休市以交易所通知为准)																							
	国内的五一 十一等国家法定节假日是否休市？	法定 节假日 五一 十一 5.1 10.1	国内节假日不休市，如国内节假日与国际价日正好重合，以交易所公告通知的休市时间为准。																							
	休市时间	休市	以交易所的通告为准，正常的交易时间是周一早上08：00至周六凌晨04:00，（如遇国外圣诞节或其他节日，以交易所的通知为准）																							
	周六交易日冬令时收盘时间	冬令时 收盘	正常交易时间是周一早上08：00至周六凌晨04:00,虽然冬令时结算时间是5：00－7：00，但是交易时间是到周六凌晨04:00																							
	结算时间？	结算时间	交易日内凌晨04:00至06:00(夏令时)；交易日内凌晨05:00至07:00(冬令时)。																							
	止损 止盈的保留时间	止损 止盈	"一天的时间
在每天的结算时间过后，止损止盈就会取消，这是交易所的交易规则。
（外盘指的是一些香港盘面或其他国家盘面，止损止盈可能是一周，如有客户咨询，请告知这些是国家未认可的非法平台，请用户注意）"																							
	为什么默认止盈会比默认止损小？这样我不是赚的少了吗？	默认止盈 默认止损	"1.默认止盈可以按照个人意愿去设置，每个人对盘面的理解不同，设定也不一样，可自行设定。
"																							
	最小交割单位是多少？	交割	白银：30千克；铂金、钯金：5000克。																							
	申报交割时间？	交割	北京时间每周一至周五(上午10:00至下午15:00，节假日除外)。																							
	交割地点?	交割地点	交易中心指定仓库																							
	实物交割合作企业是哪一家？	实物 交割	交易所交割的合作企业为深圳金亚福集团（http://www.jinyafu.com 第5、6、7届亚洲品牌500强）																							
	实物交割费用如何计算？	实物交割 费用	"提货总价格 = 持仓价格 +  提货费。
提货费收取标准为：
白银不高于成交总金额的12%；
铂金、钯金不高于成交总金额的15%.
"																							
	销售费用如何计算？	销售	销售价格 = 即时报价 + 提货费																							
	"白银，铂金、钯金的交货时间需要多久?
"	实物交割 交货时间	"白银      30千克≤G＜150千克     10个工作日
          150千克≤G＜600千克    30个工作日
          600千克≤G≤15000千克  双方协商
铂金、钯金 5千克≤G＜10千克       10个工作日
           10千克≤G＜20千克     30个工作日
           20千克≤G             双方协商








"																							
开户、销户、变更	开户是否需要支付费用？	开户费	开户不需要支付任何费用。																							
	如客户身处外地，能否通过邮寄合同方式开户？	邮寄开户	不能通过邮寄方式开户。																							
	可以用信用卡开户和存款吗？	信用卡 开户	不可以，不能进行银行转账操作。																							
	有建行的存折与开通网银,并有U盾,可以开户和存款吗?	存折 开户	合同上有标注可以。 虽然建行是通过身份证号进入网银的,但是为了客户自己方便通过银行卡出入金，建议您使用银行卡，开通一张银行卡也很快。（目前也暂无客户使用存折开户）																							
	个人客户开户须携带的资料有哪些？	开户 资料	申请人有效身份证；已开通网银的指定银行卡,并开通U盾.																							
	机构客户开户须携带的资料有哪些？	开户 资料	企业营业执照副本；税务登记证副本；组织机构代码证副本；开户许可证；法人代表有效身份证，或授权代理人有效身份证、法人授权委托书（法定代表签字）；已开通网银的指定银行卡(如有需要开通U盾的请开通U盾)；企业公章。																							
	个人客户的影像资料包括哪些？	影像 资料	客户在咨询类分员公司开户时，需在能够代表咨询类会员公司名字或标志前拍一张照片，统一发送给客服开户使用。																							
	个人客户的影像资料包括哪些？	影像 资料	"1.个人客户的有效身份证正反面扫描件，银行卡正面扫描件（如有银行卡正面扫描不清晰的，需重新写明银行卡号并扫描）。
2.开户资料签字页的扫描件。
3.个人客户在咨询类会员公司名字或标志前拍的照片一张"																							
	机构客户的影像资料包括哪些？	影像 资料	法人身份证正反面扫描件、法人营业执照副本原件扫描件、组织机构代码原件扫描件、开户许可证原件扫描件、税务登记证副本原件扫描件、授权代理人身份证正反面扫描件、授权委托书扫描件、开户资料签字页的扫描件；																							
	会员单位向交易中心交易部发送的电子资料有哪些？	开户电子资料	客户基本信息、《客户协议书》的签字页，所有资料需有会员单位盖章确认。																							
	开户需要多长时间？	开户	"
1.当日（T日）签署合同后，正常情况下，首先邮件激活帐号,第二并通过网银签属第3方存管帐户,第三在银行的出入间时间内入金成功,当日(T日)可以正常交易。
2.如果未能签属第3方存管协议,或未能及时入金,那么下一个交易日(T+1日)即可完成.(交易日正常时间是周一到周五,除去国内节假日银行休假,欧州或美洲一些节日有可能休市)"																							
	存入资金后多长时间能够到账开始交易？	入金 存款	取决于您的资金何时能够达到您贵金属交易账户，一旦到达您的专设贵金属交易账户即可进行交易。(在银行规定的出入金时间内,如果过了出入金时间,需要等到银行下一个工作日或正常交易日)																							
